ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
102,403,7,-7,46.142857142857146,25.0,80,0,240,MOVE_LEFT
109,396,7,-7,45.142857142857146,25.0,75,5,240,MOVE_LEFT
109,396,7,-7,999,100,85,5,240,MOVE_LEFT
116,389,7,-7,44.142857142857146,25.0,70,10,240,MOVE_LEFT
123,382,7,-7,999,100,75,15,240,MOVE_RIGHT
123,382,7,-7,43.142857142857146,25.0,65,15,240,MOVE_LEFT
130,375,7,-7,42.142857142857146,25.0,60,20,240,MOVE_LEFT
130,375,7,-7,999,100,75,20,240,MOVE_RIGHT
137,368,7,-7,41.142857142857146,25.0,55,25,240,MOVE_LEFT
144,361,7,-7,999,100,75,30,240,MOVE_RIGHT
144,361,7,-7,40.142857142857146,25.0,50,30,240,MOVE_LEFT
151,354,7,-7,39.142857142857146,25.0,45,35,240,MOVE_LEFT
158,347,7,-7,38.142857142857146,25.0,40,40,240,MOVE_LEFT
165,340,7,-7,37.142857142857146,25.0,35,45,240,MOVE_LEFT
172,333,7,-7,999,100,75,50,240,MOVE_RIGHT
240,MOVE_LEFT
179,326,7,-7,35.142857142857146,25.0,25,55,240,MOVE_LEFT
186,319,7,-7,34.142857142857146,25.0,20,60,240,MOVE_LEFT
190,312,4,-7,33.142857142857146,77.42857142857144,15,65,240,MOVE_RIGHT
183,305,-7,-7,999,100,75,70,240,MOVE_RIGHT
176,298,-7,-7,999,100,75,75,240,MOVE_RIGHT
176,298,-7,-7,31.142857142857142,42.0,15,75,240,MOVE_RIGHT
169,291,-7,-7,999,100,75,80,240,MOVE_RIGHT
169,291,-7,-7,30.142857142857142,42.0,15,80,240,MOVE_RIGHT
162,284,-7,-7,29.142857142857142,42.0,15,85,240,MOVE_RIGHT
162,284,-7,-7,999,100,75,85,240,MOVE_RIGHT
148,270,-7,-7,999,100,85,95,240,MOVE_LEFT
135,256,-6,-7,25.142857142857142,15.857142857142861,25,105,240,MOVE_LEFT
135,256,-6,-7,999,100,85,105,240,MOVE_LEFT
142,249,7,-7,24.142857142857142,89.0,20,110,240,MOVE_RIGHT
149,242,7,-7,23.142857142857142,89.0,25,115,240,MOVE_RIGHT
156,235,7,-7,22.142857142857142,89.0,30,120,240,MOVE_RIGHT
156,235,7,-7,999,100,85,120,240,MOVE_LEFT
163,228,7,-7,999,100,85,125,240,MOVE_LEFT
163,228,7,-7,21.142857142857142,89.0,35,125,240,MOVE_RIGHT
170,221,7,-7,20.142857142857142,89.0,40,130,240,MOVE_RIGHT
177,214,7,-7,19.142857142857142,89.0,45,135,240,MOVE_RIGHT
184,207,7,-7,18.142857142857142,89.0,50,140,240,MOVE_RIGHT
184,207,7,-7,999,100,85,140,240,MOVE_LEFT
190,200,6,-7,17.142857142857142,107.14285714285711,55,145,240,MOVE_RIGHT
183,193,-7,-7,16.142857142857142,70.0,60,150,240,MOVE_LEFT
183,193,-7,-7,999,100,75,150,240,MOVE_RIGHT
176,186,-7,-7,999,100,75,155,240,MOVE_RIGHT
176,186,-7,-7,15.142857142857142,70.0,55,155,240,MOVE_LEFT
169,179,-7,-7,14.142857142857142,70.0,55,160,240,MOVE_LEFT
162,172,-7,-7,13.142857142857142,70.0,55,165,240,MOVE_LEFT
148,158,-7,-7,11.142857142857142,70.0,45,165,240,MOVE_RIGHT
141,151,-7,-7,999,100,75,160,240,MOVE_RIGHT
141,151,-7,-7,10.142857142857142,70.0,45,160,240,MOVE_RIGHT
134,144,-7,-7,9.142857142857142,70.0,45,155,240,MOVE_RIGHT
134,144,-7,-7,999,100,75,155,240,MOVE_RIGHT
127,137,-7,-7,999,100,75,150,240,MOVE_RIGHT
40,MOVE_RIGHT
120,130,-7,-7,7.142857142857143,70.0,45,145,240,MOVE_RIGHT
106,116,-7,-7,999,100,75,135,240,MOVE_RIGHT
106,116,-7,-7,5.142857142857143,70.0,45,135,240,MOVE_RIGHT
85,95,-7,-7,999,100,85,120,240,MOVE_LEFT
240,MOVE_LEFT
71,81,-7,-7,0.14285714285714285,70.0,45,110,240,MOVE_RIGHT
64,80,-7,-1,0.0,64.0,50,105,240,MOVE_LEFT
71,87,7,7,999,100,45,100,240,MOVE_RIGHT
71,87,7,7,47.57142857142857,4.0,80,100,240,MOVE_LEFT
78,94,7,7,999,100,50,95,240,MOVE_RIGHT
78,94,7,7,46.57142857142857,4.0,75,95,240,MOVE_LEFT
85,101,7,7,45.57142857142857,4.0,70,90,240,MOVE_LEFT
85,101,7,7,999,100,55,90,240,MOVE_RIGHT
92,108,7,7,999,100,60,85,240,MOVE_RIGHT
92,108,7,7,44.57142857142857,4.0,65,85,240,MOVE_LEFT
99,115,7,7,43.57142857142857,4.0,60,80,240,MOVE_LEFT
99,115,7,7,999,100,65,80,240,MOVE_RIGHT
106,122,7,7,999,100,70,75,240,MOVE_RIGHT
106,122,7,7,42.57142857142857,4.0,55,75,240,MOVE_LEFT
113,129,7,7,41.57142857142857,4.0,50,70,240,MOVE_LEFT
113,129,7,7,999,100,75,70,240,MOVE_RIGHT
120,136,7,7,40.57142857142857,4.0,45,65,240,MOVE_LEFT
127,143,7,7,999,100,85,60,240,MOVE_LEFT
127,143,7,7,39.57142857142857,4.0,40,60,240,MOVE_LEFT
134,150,7,7,38.57142857142857,4.0,35,55,240,MOVE_LEFT
134,150,7,7,999,100,85,55,240,MOVE_LEFT
141,157,7,7,37.57142857142857,4.0,30,50,240,MOVE_LEFT
141,157,7,7,999,100,85,50,240,MOVE_LEFT
