ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
174,136,8,8,999,100,85,15,240,MOVE_LEFT
182,144,8,8,34.5,58.0,45,20,240,MOVE_LEFT
182,144,8,8,999,100,80,20,240,NONE
190,152,8,8,33.5,58.0,45,25,240,MOVE_LEFT
190,152,8,8,999,100,80,25,240,NONE
182,160,-8,8,32.5,78.0,40,30,240,MOVE_RIGHT
182,160,-8,8,999,100,80,30,240,NONE
174,168,-8,8,999,100,75,35,240,MOVE_RIGHT
174,168,-8,8,31.5,78.0,45,35,240,MOVE_RIGHT
166,176,-8,8,999,100,80,40,240,NONE
_RIGHT
158,184,-8,8,29.5,78.0,50,45,240,MOVE_RIGHT
158,184,-8,8,999,100,80,45,240,NONE
150,192,-8,8,999,100,75,50,240,MOVE_RIGHT
150,192,-8,8,28.5,78.0,55,50,240,NONE
142,200,-8,8,27.5,78.0,50,55,240,MOVE_RIGHT
142,200,-8,8,999,100,80,55,240,NONE
134,208,-8,8,999,100,80,60,240,NONE
134,208,-8,8,26.5,78.0,55,60,240,NONE
126,216,-8,8,25.5,78.0,50,65,240,MOVE_RIGHT
126,216,-8,8,999,100,75,65,240,MOVE_RIGHT
118,224,-8,8,999,100,80,70,240,NONE
118,224,-8,8,24.5,78.0,50,70,240,MOVE_RIGHT
110,232,-8,8,23.5,78.0,45,75,240,MOVE_RIGHT
110,232,-8,8,999,100,80,75,240,NONE
110,240,0,8,22.5,110.0,50,80,240,MOVE_RIGHT
110,240,0,8,999,100,85,80,240,MOVE_LEFT
118,248,8,8,21.5,110.0,55,85,240,MOVE_RIGHT
118,248,8,8,999,100,80,85,240,NONE
126,256,8,8,20.5,110.0,60,90,240,MOVE_RIGHT
126,256,8,8,999,100,85,90,240,MOVE_LEFT
134,264,8,8,19.5,110.0,65,95,240,MOVE_RIGHT
134,264,8,8,999,100,85,95,240,MOVE_LEFT
142,272,8,8,18.5,110.0,70,100,240,MOVE_RIGHT
142,272,8,8,999,100,80,100,240,NONE
150,280,8,8,17.5,110.0,75,105,240,MOVE_RIGHT
150,280,8,8,999,100,80,105,240,NONE
158,288,8,8,16.5,110.0,80,110,240,MOVE_RIGHT
158,288,8,8,999,100,85,110,240,MOVE_LEFT
166,296,8,8,15.5,110.0,85,115,240,MOVE_RIGHT
174,304,8,8,14.5,110.0,85,120,240,MOVE_RIGHT
174,304,8,8,999,100,80,120,240,NONE
182,312,8,8,13.5,110.0,90,125,240,NONE
182,312,8,8,999,100,80,125,240,NONE
190,320,8,8,999,100,80,130,240,NONE
E_LEFT
182,328,-8,8,999,100,85,135,240,MOVE_LEFT
182,328,-8,8,11.5,90.0,95,135,240,MOVE_LEFT
174,336,-8,8,10.5,90.0,90,140,240,MOVE_LEFT
174,336,-8,8,999,100,90,140,240,MOVE_LEFT
166,344,-8,8,9.5,90.0,85,145,240,MOVE_LEFT
166,344,-8,8,999,100,90,145,240,MOVE_LEFT
158,352,-8,8,8.5,90.0,80,150,240,MOVE_LEFT
158,352,-8,8,999,100,90,150,240,MOVE_LEFT
150,360,-8,8,7.5,90.0,75,155,240,MOVE_LEFT
142,368,-8,8,999,100,90,160,240,MOVE_LEFT
134,376,-8,8,5.5,90.0,70,165,240,NONE
134,376,-8,8,999,100,85,165,240,MOVE_LEFT
126,384,-8,8,4.5,90.0,65,170,240,MOVE_RIGHT
126,384,-8,8,999,100,90,170,240,MOVE_LEFT
118,392,-8,8,3.5,90.0,65,165,240,MOVE_RIGHT
110,400,-8,8,999,100,80,160,240,NONE
RIGHT
102,408,-8,8,999,100,75,155,240,MOVE_RIGHT
102,408,-8,8,1.5,90.0,65,155,240,MOVE_RIGHT
102,402,8,-8,999,100,65,145,240,MOVE_RIGHT
102,402,8,-8,40.25,24.0,80,145,240,MOVE_LEFT
110,394,8,-8,999,100,65,140,240,MOVE_RIGHT
110,394,8,-8,39.25,24.0,75,140,240,MOVE_LEFT
118,386,8,-8,999,100,70,135,240,MOVE_RIGHT
118,386,8,-8,38.25,24.0,70,135,240,MOVE_LEFT
126,378,8,-8,37.25,24.0,65,130,240,MOVE_LEFT
126,378,8,-8,999,100,75,130,240,MOVE_RIGHT
134,370,8,-8,999,100,80,125,240,NONE
134,370,8,-8,36.25,24.0,60,125,240,MOVE_LEFT
142,362,8,-8,999,100,75,120,240,MOVE_RIGHT
142,362,8,-8,35.25,24.0,55,120,240,MOVE_LEFT
150,354,8,-8,999,100,70,115,240,MOVE_RIGHT
150,354,8,-8,34.25,24.0,50,115,240,MOVE_LEFT
158,346,8,-8,33.25,24.0,45,110,240,MOVE_LEFT
158,346,8,-8,999,100,75,110,240,MOVE_RIGHT
166,338,8,-8,32.25,24.0,40,105,240,MOVE_LEFT
166,338,8,-8,999,100,75,105,240,MOVE_RIGHT
174,330,8,-8,31.25,24.0,35,100,240,MOVE_LEFT
174,330,8,-8,999,100,80,100,240,NONE
182,322,8,-8,30.25,24.0,30,95,240,MOVE_LEFT
182,322,8,-8,999,100,85,95,240,MOVE_LEFT
190,314,8,-8,999,100,90,90,240,MOVE_LEFT
190,314,8,-8,29.25,24.0,25,90,240,MOVE_LEFT
182,306,-8,-8,999,100,85,85,240,MOVE_LEFT
182,306,-8,-8,28.25,44.0,20,85,240,NONE
174,298,-8,-8,999,100,80,80,240,NONE
174,298,-8,-8,27.25,44.0,25,80,240,NONE
166,290,-8,-8,26.25,44.0,20,75,240,NONE
166,290,-8,-8,999,100,75,75,240,MOVE_RIGHT
158,282,-8,-8,999,100,75,70,240,MOVE_RIGHT
158,282,-8,-8,25.25,44.0,25,70,240,NONE
150,274,-8,-8,24.25,44.0,20,65,240,NONE
150,274,-8,-8,999,100,75,65,240,MOVE_RIGHT
