ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
102,403,7,-7,46.142857142857146,25.0,80,5,240,MOVE_LEFT
109,396,7,-7,999,100,85,10,240,MOVE_LEFT
,240,MOVE_LEFT
116,389,7,-7,44.142857142857146,25.0,70,15,240,MOVE_LEFT
123,382,7,-7,43.142857142857146,25.0,65,20,240,MOVE_LEFT
130,375,7,-7,42.142857142857146,25.0,60,25,240,MOVE_LEFT
137,368,7,-7,41.142857142857146,25.0,55,30,240,MOVE_LEFT
137,368,7,-7,999,100,75,30,240,MOVE_RIGHT
144,361,7,-7,999,100,75,35,240,MOVE_RIGHT
240,MOVE_LEFT
151,354,7,-7,999,100,75,40,240,MOVE_RIGHT
240,MOVE_LEFT
158,347,7,-7,999,100,75,45,240,MOVE_RIGHT
158,347,7,-7,38.142857142857146,25.0,40,45,240,MOVE_LEFT
165,340,7,-7,37.142857142857146,25.0,35,50,240,MOVE_LEFT
172,333,7,-7,36.142857142857146,25.0,30,55,240,MOVE_LEFT
172,333,7,-7,999,100,75,55,240,MOVE_RIGHT
179,326,7,-7,35.142857142857146,25.0,25,60,240,MOVE_LEFT
186,319,7,-7,34.142857142857146,25.0,20,65,240,MOVE_LEFT
190,312,4,-7,999,100,75,70,240,MOVE_RIGHT
190,312,4,-7,33.142857142857146,77.42857142857144,15,70,240,MOVE_RIGHT
183,305,-7,-7,999,100,75,75,240,MOVE_RIGHT
176,298,-7,-7,999,100,75,80,240,MOVE_RIGHT
240,MOVE_RIGHT
169,291,-7,-7,999,100,75,85,240,MOVE_RIGHT
240,MOVE_RIGHT
162,284,-7,-7,999,100,75,90,240,MOVE_RIGHT
240,MOVE_RIGHT
148,270,-7,-7,999,100,85,100,240,MOVE_LEFT
140,256,-1,-7,25.142857142857142,114.85714285714286,25,110,240,MOVE_RIGHT
140,256,-1,-7,999,100,85,110,240,MOVE_LEFT
147,249,7,-7,24.142857142857142,84.0,30,115,240,MOVE_RIGHT
154,242,7,-7,999,100,85,120,240,MOVE_LEFT
,240,MOVE_RIGHT
