ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
102,403,7,-7,46.142857142857146,25.0,80,5,240,MOVE_LEFT
109,396,7,-7,45.142857142857146,25.0,75,10,240,MOVE_LEFT
116,389,7,-7,44.142857142857146,25.0,70,15,240,MOVE_LEFT
123,382,7,-7,999,100,75,20,240,MOVE_RIGHT
123,382,7,-7,43.142857142857146,25.0,65,20,240,MOVE_LEFT
130,375,7,-7,42.142857142857146,25.0,60,25,240,MOVE_LEFT
130,375,7,-7,999,100,75,25,240,MOVE_RIGHT
137,368,7,-7,41.142857142857146,25.0,55,30,240,MOVE_LEFT
137,368,7,-7,999,100,75,30,240,MOVE_RIGHT
144,361,7,-7,40.142857142857146,25.0,50,35,240,MOVE_LEFT
151,354,7,-7,999,100,75,40,240,MOVE_RIGHT
151,354,7,-7,39.142857142857146,25.0,45,40,240,MOVE_LEFT
158,347,7,-7,38.142857142857146,25.0,40,45,240,MOVE_LEFT
158,347,7,-7,999,100,75,45,240,MOVE_RIGHT
165,340,7,-7,37.142857142857146,25.0,35,50,240,MOVE_LEFT
172,333,7,-7,36.142857142857146,25.0,30,55,240,MOVE_LEFT
179,326,7,-7,35.142857142857146,25.0,25,60,240,MOVE_LEFT
186,319,7,-7,34.142857142857146,25.0,20,65,240,MOVE_LEFT
190,312,4,-7,999,100,75,70,240,MOVE_RIGHT
857144,15,70,240,MOVE_RIGHT
183,305,-7,-7,999,100,75,75,240,MOVE_RIGHT
176,298,-7,-7,31.142857142857142,42.0,15,80,240,MOVE_RIGHT
169,291,-7,-7,999,100,75,85,240,MOVE_RIGHT
169,291,-7,-7,30.142857142857142,42.0,15,85,240,MOVE_RIGHT
162,284,-7,-7,29.142857142857142,42.0,15,90,240,MOVE_RIGHT
162,284,-7,-7,999,100,75,90,240,MOVE_RIGHT
148,270,-7,-7,999,100,85,100,240,MOVE_LEFT
140,256,-1,-7,25.142857142857142,114.85714285714286,25,110,240,MOVE_RIGHT
140,256,-1,-7,999,100,85,110,240,MOVE_LEFT
147,249,7,-7,24.142857142857142,84.0,30,115,240,MOVE_RIGHT
154,242,7,-7,23.142857142857142,84.0,35,120,240,MOVE_RIGHT
161,235,7,-7,999,100,85,125,240,MOVE_LEFT
161,235,7,-7,22.142857142857142,84.0,40,125,240,MOVE_RIGHT
168,228,7,-7,999,100,85,130,240,MOVE_LEFT
168,228,7,-7,21.142857142857142,84.0,45,130,240,MOVE_RIGHT
175,221,7,-7,20.142857142857142,84.0,50,135,240,MOVE_RIGHT
182,214,7,-7,19.142857142857142,84.0,55,140,240,MOVE_RIGHT
189,207,7,-7,999,100,85,145,240,MOVE_LEFT
190,200,1,-7,17.142857142857142,192.85714285714286,60,150,240,MOVE_RIGHT
183,193,-7,-7,16.142857142857142,70.0,65,155,240,MOVE_LEFT
183,193,-7,-7,999,100,75,155,240,MOVE_RIGHT
176,186,-7,-7,15.142857142857142,70.0,60,160,240,MOVE_LEFT
176,186,-7,-7,999,100,75,160,240,MOVE_RIGHT
169,179,-7,-7,14.142857142857142,70.0,55,165,240,MOVE_LEFT
162,172,-7,-7,13.142857142857142,70.0,55,170,240,MOVE_LEFT
148,158,-7,-7,999,100,75,160,240,MOVE_RIGHT
148,158,-7,-7,11.142857142857142,70.0,45,160,240,MOVE_RIGHT
141,151,-7,-7,999,100,75,155,240,MOVE_RIGHT
141,151,-7,-7,10.142857142857142,70.0,45,155,240,MOVE_RIGHT
134,144,-7,-7,9.142857142857142,70.0,45,150,240,MOVE_RIGHT
134,144,-7,-7,999,100,75,150,240,MOVE_RIGHT
127,137,-7,-7,8.142857142857142,70.0,45,145,240,MOVE_RIGHT
127,137,-7,-7,999,100,75,145,240,MOVE_RIGHT
120,130,-7,-7,999,100,75,140,240,MOVE_RIGHT
120,130,-7,-7,7.142857142857143,70.0,45,140,240,MOVE_RIGHT
106,116,-7,-7,5.142857142857143,70.0,45,130,240,MOVE_RIGHT
85,95,-7,-7,2.142857142857143,70.0,55,115,240,MOVE_LEFT
85,95,-7,-7,999,100,85,115,240,MOVE_LEFT
71,81,-7,-7,999,100,75,105,240,MOVE_RIGHT
,240,MOVE_RIGHT
64,80,-7,-1,0.0,64.0,50,100,240,MOVE_LEFT
71,87,7,7,47.57142857142857,4.0,80,95,240,MOVE_LEFT
71,87,7,7,999,100,45,95,240,MOVE_RIGHT
78,94,7,7,999,100,50,90,240,MOVE_RIGHT
78,94,7,7,46.57142857142857,4.0,75,90,240,MOVE_LEFT
85,101,7,7,999,100,55,85,240,MOVE_RIGHT
85,101,7,7,45.57142857142857,4.0,70,85,240,MOVE_LEFT
92,108,7,7,999,100,60,80,240,MOVE_RIGHT
92,108,7,7,44.57142857142857,4.0,65,80,240,MOVE_LEFT
99,115,7,7,999,100,65,75,240,MOVE_RIGHT
99,115,7,7,43.57142857142857,4.0,60,75,240,MOVE_LEFT
106,122,7,7,42.57142857142857,4.0,55,70,240,MOVE_LEFT
106,122,7,7,999,100,70,70,240,MOVE_RIGHT
113,129,7,7,41.57142857142857,4.0,50,65,240,MOVE_LEFT
113,129,7,7,999,100,75,65,240,MOVE_RIGHT
120,136,7,7,40.57142857142857,4.0,45,60,240,MOVE_LEFT
127,143,7,7,39.57142857142857,4.0,40,55,240,MOVE_LEFT
127,143,7,7,999,100,85,55,240,MOVE_LEFT
134,150,7,7,38.57142857142857,4.0,35,50,240,MOVE_LEFT
134,150,7,7,999,100,85,50,240,MOVE_LEFT
141,157,7,7,37.57142857142857,4.0,30,45,240,MOVE_LEFT
148,164,7,7,36.57142857142857,4.0,25,40,240,MOVE_LEFT
155,171,7,7,35.57142857142857,4.0,20,35,240,MOVE_LEFT
155,171,7,7,999,100,75,35,240,MOVE_RIGHT
162,178,7,7,999,100,75,30,240,MOVE_RIGHT
162,178,7,7,34.57142857142857,4.0,15,30,240,MOVE_LEFT
169,185,7,7,999,100,75,25,240,MOVE_RIGHT
169,185,7,7,33.57142857142857,4.0,10,25,240,MOVE_LEFT
176,192,7,7,32.57142857142857,4.0,5,20,240,MOVE_LEFT
176,192,7,7,999,100,75,20,240,MOVE_RIGHT
183,199,7,7,999,100,75,15,240,MOVE_RIGHT
183,199,7,7,31.571428571428573,4.0,0,15,240,MOVE_LEFT
190,206,7,7,30.571428571428573,4.0,0,10,240,MOVE_LEFT
190,206,7,7,999,100,75,10,240,MOVE_RIGHT
183,213,-7,7,999,100,75,5,240,MOVE_RIGHT
155,241,-7,7,25.571428571428573,24.0,10,15,240,MOVE_LEFT
155,241,-7,7,999,100,85,15,240,MOVE_LEFT
148,248,-7,7,999,100,85,20,240,MOVE_LEFT
148,248,-7,7,24.571428571428573,24.0,10,20,240,MOVE_LEFT
106,290,-7,7,18.571428571428573,24.0,10,50,240,MOVE_LEFT
92,304,-7,7,999,100,85,60,240,MOVE_LEFT
92,304,-7,7,16.571428571428573,24.000000000000014,10,60,240,MOVE_LEFT
85,311,-7,7,15.571428571428571,24.0,10,65,240,MOVE_LEFT
71,325,-7,7,13.571428571428571,24.0,10,75,240,MOVE_LEFT
71,325,-7,7,999,100,85,75,240,MOVE_LEFT
29,367,-7,7,7.571428571428571,24.0,10,105,240,MOVE_LEFT
22,374,-7,7,6.571428571428571,24.0,10,110,240,MOVE_LEFT
22,374,-7,7,999,100,85,110,240,MOVE_LEFT
1,395,-7,7,999,100,75,125,240,MOVE_RIGHT
0,402,-1,7,999,100,75,130,240,MOVE_RIGHT
285716,0,130,240,MOVE_LEFT
7,409,7,7,999,100,75,135,240,MOVE_RIGHT
14,410,7,1,10.0,84.0,0,140,240,MOVE_RIGHT
21,403,7,-7,999,100,5,145,240,MOVE_RIGHT
21,403,7,-7,46.142857142857146,56.0,75,145,240,MOVE_LEFT
28,396,7,-7,45.142857142857146,56.0,70,150,240,MOVE_LEFT
28,396,7,-7,999,100,10,150,240,MOVE_RIGHT
35,389,7,-7,44.142857142857146,56.0,65,155,240,MOVE_LEFT
35,389,7,-7,999,100,15,155,240,MOVE_RIGHT
43,381,8,-8,37.625,56.0,60,160,240,MOVE_LEFT
51,373,8,-8,999,100,25,165,240,MOVE_RIGHT
51,373,8,-8,36.625,56.0,55,165,240,MOVE_LEFT
59,365,8,-8,999,100,30,170,240,MOVE_RIGHT
59,365,8,-8,35.625,56.0,50,170,240,MOVE_LEFT
67,357,8,-8,34.625,56.0,50,165,240,MOVE_LEFT
67,357,8,-8,999,100,35,165,240,MOVE_RIGHT
75,349,8,-8,33.625,56.0,45,160,240,MOVE_LEFT
75,349,8,-8,999,100,40,160,240,MOVE_RIGHT
83,341,8,-8,999,100,45,155,240,MOVE_RIGHT
91,333,8,-8,31.625,56.0,45,150,240,MOVE_LEFT
91,333,8,-8,999,100,50,150,240,MOVE_RIGHT
99,325,8,-8,999,100,55,145,240,MOVE_RIGHT
99,325,8,-8,30.625,56.0,45,145,240,MOVE_LEFT
107,317,8,-8,999,100,60,140,240,MOVE_RIGHT
115,309,8,-8,999,100,65,135,240,MOVE_RIGHT
123,301,8,-8,999,100,70,130,240,MOVE_RIGHT
131,293,8,-8,999,100,75,125,240,MOVE_RIGHT
139,285,8,-8,999,100,75,120,240,MOVE_RIGHT
147,277,8,-8,999,100,75,115,240,MOVE_RIGHT
163,261,8,-8,999,100,85,105,240,MOVE_LEFT
179,245,8,-8,999,100,85,95,240,MOVE_LEFT
187,237,8,-8,999,100,85,90,240,MOVE_LEFT
190,229,3,-8,18.625,154.125,40,85,240,MOVE_RIGHT
190,229,3,-8,999,100,85,85,240,MOVE_LEFT
182,221,-8,-8,17.625,41.0,45,80,240,MOVE_LEFT
174,213,-8,-8,999,100,85,75,240,MOVE_LEFT
174,213,-8,-8,16.625,41.0,40,75,240,MOVE_LEFT
166,205,-8,-8,15.625,41.0,35,70,240,MOVE_LEFT
158,197,-8,-8,14.625,41.0,30,65,240,MOVE_LEFT
158,197,-8,-8,999,100,75,65,240,MOVE_RIGHT
134,173,-8,-8,11.625,41.0,15,50,240,MOVE_RIGHT
134,173,-8,-8,999,100,75,50,240,MOVE_RIGHT
126,165,-8,-8,999,100,75,45,240,MOVE_RIGHT
126,165,-8,-8,10.625,41.0,15,45,240,MOVE_RIGHT
118,157,-8,-8,999,100,75,40,240,MOVE_RIGHT
110,149,-8,-8,999,100,75,35,240,MOVE_RIGHT
78,117,-8,-8,999,100,85,15,240,MOVE_LEFT
46,85,-8,-8,999,100,85,5,240,MOVE_LEFT
27,88,-11,8,999,100,20,15,240,MOVE_RIGHT

16,96,-11,8,999,100,25,20,240,MOVE_RIGHT
16,96,-11,8,40.5,29.5,80,20,240,MOVE_LEFT
5,104,-11,8,39.5,29.5,75,25,240,MOVE_LEFT
5,104,-11,8,999,100,30,25,240,MOVE_RIGHT
0,112,-5,8,38.5,192.5,70,30,240,MOVE_RIGHT
0,112,-5,8,999,100,35,30,240,MOVE_RIGHT
11,120,11,8,37.5,23.5,75,35,240,MOVE_LEFT
22,128,11,8,999,100,45,40,240,MOVE_RIGHT

33,136,11,8,999,100,50,45,240,MOVE_RIGHT
33,136,11,8,35.5,23.5,65,45,240,MOVE_LEFT
44,144,11,8,34.5,23.5,60,50,240,MOVE_LEFT
44,144,11,8,999,100,55,50,240,MOVE_RIGHT
55,152,11,8,33.5,23.5,55,55,240,MOVE_LEFT
55,152,11,8,999,100,60,55,240,MOVE_RIGHT
66,160,11,8,32.5,23.5,50,60,240,MOVE_LEFT
77,168,11,8,31.5,23.5,45,65,240,MOVE_LEFT
77,168,11,8,999,100,70,65,240,MOVE_RIGHT
88,176,11,8,30.5,23.5,40,70,240,MOVE_LEFT
88,176,11,8,999,100,70,70,240,MOVE_RIGHT
99,184,11,8,999,100,75,75,240,MOVE_RIGHT
99,184,11,8,29.5,23.5,35,75,240,MOVE_LEFT
110,192,11,8,999,100,75,80,240,MOVE_RIGHT
110,192,11,8,28.5,23.5,30,80,240,MOVE_LEFT
121,200,11,8,27.5,23.5,25,85,240,MOVE_LEFT
121,200,11,8,999,100,75,85,240,MOVE_RIGHT
132,208,11,8,26.5,23.5,20,90,240,MOVE_LEFT
143,216,11,8,25.5,23.5,15,95,240,MOVE_LEFT
154,224,11,8,999,100,85,100,240,MOVE_LEFT
154,224,11,8,24.5,23.5,10,100,240,MOVE_LEFT
176,240,11,8,22.5,23.5,10,110,240,MOVE_LEFT
190,256,3,8,20.5,148.5,10,120,240,MOVE_RIGHT
190,256,3,8,999,100,85,120,240,MOVE_LEFT
179,264,-11,8,999,100,85,125,240,MOVE_LEFT
168,272,-11,8,18.5,35.5,20,130,240,MOVE_LEFT
168,272,-11,8,999,100,85,130,240,MOVE_LEFT
146,288,-11,8,16.5,35.5,10,140,240,MOVE_RIGHT
146,288,-11,8,999,100,75,140,240,MOVE_RIGHT
113,312,-11,8,13.5,35.5,20,155,240,MOVE_LEFT
102,320,-11,8,999,100,85,160,240,MOVE_LEFT
102,320,-11,8,12.5,35.5,20,160,240,MOVE_LEFT
80,336,-11,8,10.5,35.5,20,170,240,MOVE_LEFT
69,344,-11,8,999,100,85,165,240,MOVE_LEFT
69,344,-11,8,9.5,35.5,20,165,240,MOVE_LEFT
58,352,-11,8,999,100,85,160,240,MOVE_LEFT

36,368,-11,8,999,100,75,150,240,MOVE_RIGHT
36,368,-11,8,6.5,35.5,10,150,240,MOVE_RIGHT
0,400,-3,8,999,100,75,130,240,MOVE_RIGHT
0,400,-3,8,2.5,7.5,10,130,240,MOVE_LEFT
11,408,11,8,999,100,75,125,240,MOVE_RIGHT
22,410,11,2,5.0,77.0,10,120,240,MOVE_RIGHT
33,402,11,-8,999,100,15,115,240,MOVE_RIGHT
T
44,394,11,-8,39.25,75.75,75,110,240,MOVE_LEFT
55,386,11,-8,38.25,75.75,70,105,240,MOVE_LEFT
55,386,11,-8,999,100,25,105,240,MOVE_RIGHT
66,378,11,-8,37.25,75.75,65,100,240,MOVE_LEFT
77,370,11,-8,999,100,35,95,240,MOVE_RIGHT
T
88,362,11,-8,999,100,40,90,240,MOVE_RIGHT
88,362,11,-8,35.25,75.75,60,90,240,MOVE_LEFT
99,354,11,-8,999,100,45,85,240,MOVE_RIGHT
110,346,11,-8,33.25,75.75,50,80,240,MOVE_RIGHT
110,346,11,-8,999,100,50,80,240,MOVE_RIGHT
